name,latitude,longitude,easting,northing,Column1
Thames View,51.52735487,0.106154673,546198.0775,183040.1829,20
Barking,51.5358099,0.081422904,544455.8779,183931.2966,11
Dagenham,51.53986885,0.150073004,549203.432,184520.334,16
Valence,51.55806921,0.135478474,548132.3554,186514.5713,4
Robert Jeyes Community Library,51.57212135,0.144638198,548721.4527,188095.717,6
Marks Gate,51.58490561,0.137516448,548186.4005,189502.8722,15
Childs Hill ,51.56166852,-0.199092218,524931.1315,186290.5449,9
Golders Green ,51.57425403,-0.200179203,524821.3455,187688.2469,2
Garden Suburb Community Library ,51.58580095,-0.181741357,526067.0323,189003.9408,15
Hendon,51.58809113,-0.227360361,522900.4698,189180.9416,2
East Finchley,51.59342094,-0.165973843,527138.0717,189878.6134,2
Finchley Church End ,51.59932321,-0.195695662,525064.9298,190484.0903,6
Colindale,51.60129207,-0.243478885,521748.6625,190622.0369,8
South Friern ,51.59993455,-0.146935286,528438.3924,190636.2092,4
Burnt Oak ,51.60276504,-0.261638438,520487.2066,190755.8344,4
Friern Barnet Community Library ,51.61303719,-0.151842928,528061.6744,192084.6865,10
Mill Hill ,51.61488958,-0.241490103,521850.0482,192137.4923,4
Edgware ,51.61577734,-0.272427097,519705.9612,192185.2188,4
North Finchley ,51.61807536,-0.174310929,526492.1183,192605.8502,4
Osidge,51.62982049,-0.147457177,528317.9741,193958.7725,0
East Barnet ,51.64389091,-0.159901578,527417.296,195501.7159,4
Chipping Barnet ,51.65565921,-0.203165618,524391.8092,196735.8892,8
Sidcup Library,51.42531937,0.106637863,546558.1523,171694.9975,16
Bexley Community Library,51.44224098,0.152449184,549687.5446,173669.18,0
Blackfen Community Library,51.44966601,0.106032019,546438.1518,174401.072,24
Crayford Library,51.44939192,0.181716274,551697.6452,174524.5142,14
Central Library,51.45547478,0.145384246,549153.4525,175126.3566,10
Welling Library,51.46201211,0.107780415,546520.0938,175777.4293,18
North Heath Community Library,51.47278049,0.162930989,550315.5663,177086.5627,0
Slade Green Community Library,51.47260377,0.192596225,552376.2848,177128.1937,18
Bostall Community Library,51.47518169,0.131517747,548126.2646,177289.5869,6
Erith Library,51.47860538,0.182997078,551689.767,177775.648,14
Upper Belvedere Community Library,51.4834101,0.14685388,549164.3806,178235.686,4
Thamesmead Library,51.49981378,0.124208362,547539.1717,180013.906,13
Ealing Road Library,51.5019159,-0.38027925,512521.117,179352.2711,2
Wembley Library,51.55840914,-0.27988313,519339.8475,185793.3494,2
Kilburn,51.53460692,-0.203802273,524678.5649,183273.2007,0
Harlesden,51.53817576,-0.248902211,521541.2282,183594.261,4
Willesden Green,51.54614396,-0.22734961,523014.3652,184516.3249,2
Ealing Road,51.54902978,-0.295856874,518256.8551,184724.4367,2
Barham Park,51.55167842,-0.309851801,517279.7498,184996.4752,12
Cricklewood,51.556355,-0.225798393,523094.3822,185654.4218,16
Preston,51.56968996,-0.294175125,518319.9106,187024.6449,5
Kingsbury,51.58552355,-0.274858006,519616.9955,188816.8294,0
Biggin Hill Memorial Library and Pool,51.31170065,0.036318182,542020.3836,158922.5458,1
West Wickham Library,51.37533193,-0.012306129,538440.0224,165905.3481,7
Hayes Library,51.37686239,0.019678625,540661.3202,166136.3177,4
Orpington Library,51.375607,0.102773528,546448.1007,166159.2581,4
Southborough Library,51.38938336,0.044998489,542384.6044,167577.4841,0
Petts Wood Library,51.38948409,0.072531624,544299.8675,167642.4634,10
Shortlands Library,51.39924941,-0.005589835,538835.1715,168577.7252,8
Bromley Central Library,51.40324078,0.016066784,540329.3874,169062.757,6
St Pauls Cray Library,51.40401746,0.104867667,546503.1308,169322.7341,3
Beckenham Library,51.40810746,-0.03534684,536738.8963,169506.8684,7
Penge Library,51.41339872,-0.049516924,535737.7837,170068.9349,9
Burnt Ash Library,51.4192948,0.021290019,540643.3959,170857.949,4
Chislehurst Library,51.41951611,0.066352567,543775.8361,170969.9055,14
Holborn Library,51.52067122,-0.11412,530938.2693,181880.0302,10
Pancras Square Library,51.53331656,-0.124801847,530161.1742,183267.1621,10
Camden Town Library,51.53374045,-0.136162072,529372.085,183294.1711,6
Kilburn Library Centre,51.53588068,-0.189547539,525663.6729,183439.2116,8
Chalk Farm (now Primrose Hill Community Library),51.54063196,-0.15509123,528039.9309,184027.2499,16
Swiss Cottage Library,51.54178129,-0.171630986,526889.8021,184126.2687,10
Belsize Community Library,51.5473928,-0.160674101,527633.8814,184769.3204,4
West Hampstead Library,51.54981004,-0.19003314,525591.6517,184987.3571,8
Kentish Town Library,51.54950403,-0.138864449,529140.0496,185042.3307,2
Queens Crescent Library,51.54997951,-0.149592003,528394.9661,185076.3412,8
Keats Community Library,51.55497759,-0.166629413,527199.8332,185602.4092,27
Highgate Library,51.56326752,-0.142487036,528850.0193,186566.4862,8
Shoe Lane,51.51492977,-0.104973389,531589.3461,181257.9678,14
Artizan Street,51.51514611,-0.075183973,533655.5685,181335.9912,11
Guildhall Library and City Business Library,51.51556142,-0.091238833,532540.4503,181352.976,2
Barbican,51.51944948,-0.092517837,532440.4365,181783.0158,22
Bradmore Green,51.30703271,-0.12240494,530972.108,158108.6541,5
Coulsdon,51.31947203,-0.13709679,529913.0368,159465.8282,13
Purley,51.33861472,-0.117094012,531252.2061,161629.9606,10
Sanderstead,51.34028969,-0.083955297,533555.4595,161875.9689,7
New Addington,51.34039632,-0.014765878,538374.0064,162015.8852,4
Selsdon,51.34193161,-0.060767012,535165.6722,162100.9893,9
Croydon central library,51.37138431,-0.097931813,532492.4014,165308.3352,8
Shirley,51.37465273,-0.043548174,536267.8069,165771.4392,5
Ashburton,51.38255158,-0.061536706,534992.6739,166616.5242,11
Broad Green,51.38485402,-0.115555759,531227.2638,166774.523,5
Thornton Heath,51.3963774,-0.103997406,531998.337,168076.6336,4
South Norwood,51.39677584,-0.077124186,533866.5769,168169.6617,6
Norbury,51.40507418,-0.119052849,530926.1783,169016.7576,3
Upper Norwood,51.4195192,-0.079751385,533617.5346,170693.9771,44
Northfields Library,51.49852209,-0.312582853,517226.7871,179080.8963,4
Southall Library (Dominion Centre and Library),51.50287467,-0.377570641,512705.29,179462.9579,4
Acton Town Hall Library,51.50589642,-0.26632407,520418.1379,179975.9369,16
West Ealing Library,51.50898637,-0.322962116,516479.6899,180228.0201,8
Hanwell Library,51.50942108,-0.334533647,515675.5997,180258.0305,4
Ealing Central Library,51.51182412,-0.300805858,518009.8669,180579.0286,18
Jubilee Gardens Library,51.52072747,-0.367926306,513330.3418,181463.1623,8
Pitshanger Library,51.52539097,-0.31235373,517173.751,182069.1958,0
Greenford Library,51.52930578,-0.353676795,514297.4318,182439.2575,2
Northolt Library,51.53913239,-0.383852769,512180.2474,183485.3896,10
Perivale Library,51.54009645,-0.32248201,516433.6455,183688.3709,2
Northolt Leisure Centre Library,51.54839666,-0.366920507,513331.4551,184541.7107,4
Wood End Library,51.55227084,-0.348289165,514613.4898,185001.5288,0
Fore Street,51.61166506,-0.063707118,534167.7696,192090.2023,10
Angel Raynham,51.61259183,-0.059377369,534464.8082,192201.2198,0
Bowes Road,51.61492809,-0.129038125,529635.185,192335.1415,2
Palmers Green,51.61508369,-0.109010668,531021.289,192388.1465,10
Millfield House,51.61589454,-0.079736045,533045.6374,192531.2191,0
Edmonton Green,51.62339871,-0.056459901,534634.8345,193408.3408,8
Winchmore Hill,51.62790941,-0.096829091,531827.4519,193836.3376,2
Southgate Circus,51.62989232,-0.126731632,529752.155,194003.3382,0
Ridge Avenue,51.63568138,-0.080359974,532944.5667,194730.4496,4
John Jackson,51.64493374,-0.064906253,533986.6629,195787.5378,0
Ponders End,51.64472766,-0.045949157,535298.8302,195799.5825,0
Oakwood,51.64834202,-0.127561284,529642.1267,196053.568,0
Enfield Town,51.65119271,-0.084620218,532604.4765,196447.6148,16
Enfield Highway,51.65843232,-0.045865671,535263.8263,197323.72,14
Enfield Island Village,51.66794853,-0.014837634,537381.1144,198439.8912,0
Ordnance Unity Centre,51.67157982,-0.037720477,535787.9117,198800.8953,12
Bullsmoor,51.67592229,-0.047890153,535071.8166,199264.9464,0
Slad Central Library,51.4783269,0.08681875,545014.2214,177550.0022,14
Coldharbour Library,51.42980097,0.058915383,543226.5737,172099.0195,4
Mottingham Library,51.43693949,0.045208326,542251.5993,172866.1064,6
New Eltham Library,51.43700853,0.072897864,544175.8233,172927.8955,8
Eltham Centre Library,51.45051273,0.05950408,543202.7192,174403.2846,24
Blackheath Village community library service,51.46567918,0.011172244,539798.3536,175996.4802,12
Blackheath Library,51.47646341,0.02315429,540597.4634,177218.5941,18
West Greenwich Library,51.47748419,-0.009682215,538314.1494,177269.6357,10
Charlton Library,51.47996113,0.038778646,541671.5753,177637.6376,18
Greenwich Centre Library,51.48507784,0.009978276,539656.1873,178151.3233,20
Plumstead Library,51.48585252,0.097888361,545756.9976,178408.722,18
Woolwich Library,51.48875521,0.067021338,543604.9412,178670.5409,20
Abbey Wood Library,51.49324188,0.111800593,546699.1318,179258.1857,4
Thamesmere Library,51.50721776,0.110795098,546584.5001,180810.2891,8
Slade Centre Library ,51.4788,0.08513,544893.5957,177599.1833,2
Shoreditch Library,51.52992914,-0.078323828,533394.526,182974.1553,19
Hackney Central Library,51.54397082,-0.054481199,535006.6997,184579.3952,19
Dalston CLR James Library,51.54553907,-0.072345591,533763.4253,184720.9605,22
Homerton Library,51.54845395,-0.040153269,535986.7987,185104.4226,20
Stoke Newington Library,51.56111212,-0.081208186,533103.5324,186436.538,6
Clapton Library,51.56216084,-0.058336644,534685.7258,186595.0453,18
N4 Library,51.56332898,-0.101937018,531660.3578,186645.514,6
Woodberry Down Library,51.56958151,-0.089760986,532486.1324,187362.814,11
Stamford Hill Library,51.56986343,-0.070823934,533797.6503,187428.6616,13
Hurlingham and Chelsea School and Community Library ,51.46730717,-0.194927408,525478.6583,175804.4775,0
Fulham,51.47675544,-0.201107392,525023.6285,176844.5832,21
Avonmore Library and Neighbourhood Centre,51.49206749,-0.205547084,524673.6104,178539.7561,0
Hammersmith,51.4940733,-0.222094745,523519.4818,178734.7818,21
Askew Road,51.50317005,-0.24146864,522150.3296,179713.8908,10
Shepherds Bush Library ,51.5059,-0.22427,523336.5627,180046.2712,16
Stroud Green and Harringay Library,51.57704541,-0.104800835,531422.3615,188165.6765,10
Hornsey Library,51.5777629,-0.120331171,530344.2181,188217.6635,10
St Ann's Library,51.58041502,-0.081376662,533035.5839,188582.7631,11
Marcus Garvey Library,51.58767917,-0.072436947,533633.6794,189406.8717,8
Muswell Hill Library,51.59062359,-0.141789878,528821.0447,189609.8289,0
Wood Green Central Library and Customer Services,51.59502191,-0.108052332,531145.362,190158.9015,6
Alexandra Park Library,51.59833448,-0.135207795,529255.1144,190478.9261,2
Coombes Croft Library,51.60315254,-0.066697867,533985.7399,191138.0895,12
Highgate Library ,51.57714,-0.14374,528724.0233,188106.9608,2
Roxeth,51.56211325,-0.354959407,514126.4735,186085.6363,9
Pinner,51.59090052,-0.378912076,512395.2353,189249.8231,11
Kenton,51.59214569,-0.309678337,517187.7604,189496.9501,4
Wealdstone,51.59364474,-0.333374798,515542.5837,189625.9531,5
Stanmore,51.61793485,-0.310063717,517094.7209,192364.1795,6
Greenhill,51.57948,-0.33585,515407.014,188046.8774,11
Rainham Library,51.51675181,0.192670878,552234.2364,182037.3937,6
South Hornchurch Library,51.52970163,0.18917753,551948.8202,183470.1819,10
Elm Park Library,51.55199482,0.200125381,552633.6598,185971.8797,0
Upminster Library,51.55463794,0.249745369,556064.4671,186370.4491,2
Hornchurch Library,51.56438705,0.222200226,554122.1686,187396.1548,4
Gidea Park Library,51.57949079,0.20753372,553055.011,189044.851,2
Romford Central Library,51.58027,0.185138066,551500.7624,189084.8512,4
Harold Wood Library,51.59401788,0.237108698,555054.6563,190722.5522,3
Collier Row Library,51.59796672,0.162482974,549872.9445,191006.0451,13
Harold Hill Library,51.60723241,0.220053539,553828.756,192155.9324,8
Harlington Library,51.49708916,-0.434933798,508737.8681,178732.8378,0
West Drayton Library,51.50520608,-0.468693946,506375.5487,179585.9132,9
Botwell Green Library,51.50797249,-0.416286829,510006.0272,179970.9804,8
Yiewsley Library,51.51464462,-0.472499744,506089.5023,180630.0276,9
Yeading Library,51.52036818,-0.402580015,510927.1176,181370.1437,6
Hayes End Library,51.52547573,-0.434551689,508696.8816,181890.1992,14
Charville Library,51.53458782,-0.425961931,509270.9384,182916.3177,10
Oak Farm Library,51.54105794,-0.448540066,507689.7325,183602.3739,6
Uxbridge Library,51.54468289,-0.47672958,505726.4508,183964.381,16
South Ruislip Library,51.55683414,-0.393563692,511463.5941,185439.1039,7
Ickenham Library,51.56302186,-0.441948781,508094.7598,186054.6195,7
Ruislip Manor Library,51.57182885,-0.409969652,510290.0403,187081.7381,4
Manor Farm Library,51.57749759,-0.426875733,509104.8929,187686.7961,6
Eastcote Library,51.57987055,-0.399015966,511029.5308,187992.5484,4
Northwood Hills Library,51.60229864,-0.406724744,510441.0395,190474.9673,6
Harefield Library,51.60389981,-0.481377327,505267.4121,190543.0419,6
Northwood Library,51.61183903,-0.423276417,509271.9024,191511.0677,3
Hanworth Library,51.43983125,-0.387346368,512181.1756,172437.1899,7
Feltham Library,51.44585041,-0.409519872,510625.5967,173072.9007,11
Bedfont Library,51.45154014,-0.432661866,509003.9087,173670.9998,4
Isleworth Library,51.46639803,-0.328555858,516199.6496,175483.1799,11
Hounslow Library,51.4676225,-0.361468633,513910.5498,175567.6844,10
Beavers Library,51.46972705,-0.394852683,511586.6547,175750.3478,6
Cranford Library,51.47764106,-0.404892845,510870.1656,176615.1801,10
Osterley Library,51.48182162,-0.344332814,515065.0504,177173.4449,10
Heston Library,51.4853629,-0.373872389,513005.214,177521.2757,10
Brentford Library ,51.48610093,-0.306007544,517715.1487,177710.1617,10
Chiswick Library,51.49118486,-0.259517611,520929.403,178351.176,4
Finsbury Library,51.52597704,-0.102943118,531698.3506,182490.0806,4
Lewis Carroll Children's Library,51.53656146,-0.115712865,530782.2418,183644.1894,5
South Library,51.53852804,-0.097142753,532064.3786,183896.2221,8
West Library,51.54023085,-0.114594977,530849.2467,184054.2263,10
Mildmay Library,51.54709791,-0.082721131,533039.4787,184875.3742,10
Islington Central Library,51.54872784,-0.105545308,531452.3047,185015.33,8
John Barnes Library,51.55043083,-0.124213467,530153.1623,185171.3318,0
North Library,51.55990827,-0.120173008,530406.1918,186232.4388,10
Archway Library,51.56517477,-0.134025306,529431.0852,186793.5035,8
Cat and Mouse Library,51.55279,-0.12496,530094.6783,185432.347,8
Chelsea Library,51.48695911,-0.166593622,527391.9073,178038.6927,4
Brompton Library,51.48956716,-0.186830684,525979.754,178293.7259,4
Kensington Central Library,51.50090763,-0.19283156,525532.0152,179544.506,2
Notting Hill Gate Library,51.51076859,-0.195818555,525297.6597,180635.9499,2
North Kensington Library,51.51615689,-0.207627437,524463.5619,181215.0087,1
Kensal Library,51.52333382,-0.205283983,524606.5699,182017.0836,14
Hook and Chessington Library,51.36739709,-0.30447708,518126.7495,164512.4416,4
Tolworth Community Library,51.3805588,-0.28069395,519747.9629,166014.573,2
Old Malden Library,51.38323859,-0.253314099,521646.1724,166357.5922,4
Surbiton Library,51.39228094,-0.296326317,518629.8755,167292.6945,6
New Malden Library,51.3987777,-0.259235194,521193.1577,168075.7613,2
Kingston Library,51.40882739,-0.298688099,518422.915,169128.8386,6
Tudor Drive Library,51.42580323,-0.295942865,518569.8976,171021.0724,2
Streatham,51.43105845,-0.127568076,530260.1238,171891.0558,2
Carnegie library (Herne Hill),51.46026675,-0.09500123,532439.4207,175197.3873,8
Brixton,51.46058716,-0.113142886,531178.2654,175200.381,12
Clapham,51.46259073,-0.132070789,529857.7442,175389.4684,11
Minet,51.47077924,-0.103808424,531797.3517,176350.4918,2
Tate South Lambeth,51.47868673,-0.122377153,530485.2231,177196.5853,6
Durning,51.48827569,-0.108499154,531421.3427,178287.691,0
Waterloo,51.49766755,-0.110329276,531267.3254,179328.7928,0
West Norwood Library and Picturehouse,51.43228329,-0.102510989,531998.3445,172072.0957,6
Sydenham community library service,51.42640821,-0.039007332,536429.8866,171535.0772,2
Downham Library,51.42655123,0.011453184,539937.3062,171646.0254,12
Forest Hill Library,51.43537399,-0.054595642,535319.7639,172503.1674,7
Grove Park community library service,51.43543627,0.02508199,540857.4281,172660.1085,2
Torridon Road Library,51.44182955,2.12E-05,539096.228,173323.2133,0
Catford library,51.4440966,-0.019079052,537762.0728,173539.2643,8
Corbett Community Library,51.44240759,-0.001234934,539008.9817,173385.1455,12
Crofton Park community library service,51.45492733,-0.034704482,536643.952,174714.3907,5
Manor House Library,51.45679923,0.006103015,539473.2979,174999.381,3
Lewisham Library,51.45875667,-0.010065265,538344.1649,175186.4233,0
New Cross community library service,51.47500522,-0.03708193,536418.9216,176942.5922,4
The Library at Deptford Lounge,51.4771916,-0.022686192,537412.0328,177212.6275,24
Pepys community library service,51.48930584,-0.029077129,536931.9573,178547.7436,0
West Barnes Library,51.39463987,-0.237525903,522714.3057,167651.716,5
Pollards Hill Library,51.3995746,-0.13027904,530161.0005,168385.2342,2
Morden Library,51.40100796,-0.194447903,525693.6152,168432.7952,11
Raynes Park Library,51.40858096,-0.226221534,523463.1978,169220.9564,9
Mitcham Library,51.40810347,-0.160877126,528008.8531,169279.8846,14
Mitcham Library,51.40810347,-0.160877126,528008.8531,169279.8846,14
Colliers Wood Library,51.41810235,-0.175888599,526937.2148,170365.6536,9
Wimbledon Library,51.42192157,-0.206383148,524806.5328,170738.0387,14
North Woolwich Library,51.50055166,0.064267038,543376.7295,179976.9019,14
Custom House Library,51.51466945,0.033005735,541163.4387,181486.0534,12
Beckton Library,51.51452083,0.056999433,542828.6522,181516.0573,10
Canning Town Library,51.5168551,0.012662185,539745.2476,181690.0309,10
Plaistow Library,51.52918631,0.027235955,540718.3916,183089.1965,8
East Ham Library,51.5317699,0.057056061,542778.6666,183434.262,10
Green Street Library,51.53588095,0.036907327,541368.4902,183852.2939,10
Stratford Library,51.54226038,0.005951316,539202.1904,184502.3071,12
The Gate Library ,51.54719385,0.02711327,540654.4039,185091.4031,12
Manor Park Library,51.55021122,0.048597724,542134.615,185468.485,0
Redbridge Central Library,51.55755549,0.076933039,544075.866,186340.5691,2
Goodmayes Library,51.55889344,0.110599992,546405.2585,186556.1876,2
Aldersbrook Library,51.56285706,0.034606393,541125.4864,186847.6068,0
Seven Kings Library,51.5642506,0.10146687,545755.0901,187133.6705,4
Wanstead Library,51.57538383,0.026895284,540552.4265,188225.7671,6
Keith Axon Library,51.57387616,0.122929149,547211.494,188247.0122,0
Gants Hill Library,51.57712887,0.071676366,543649.8357,188506.8144,2
Clayhall Library,51.58979452,0.051056985,542181.6596,189874.9672,0
Fullwell Cross Library,51.59269709,0.08689642,544654.9607,190267.9948,10
South Woodford Library and Gym,51.59663025,0.023571198,540256.7388,190582.0692,2
Woodford Green Library,51.6070902,0.033954993,540943.5237,191765.1895,2
Hainault Library,51.60753869,0.105766669,545914.4075,191955.8419,14
Uphall School Library,51.54746664,0.073761534,543775.0001,185266.0001,1
Hampton,51.41335784,-0.368733087,513540.3371,169521.8615,4
Hampton Wick,51.41327031,-0.311754655,517502.814,169601.8922,4
Hampton Hill,51.4259997,-0.354371646,514507.4558,170950.0281,4
Teddington,51.42722399,-0.332819999,516002.6432,171120.0657,5
Ham,51.43737166,-0.311671896,517446.7741,172282.2225,6
Heathfield Library Access Point,51.4434674,-0.362896718,513871.3891,172879.2645,0
Twickenham,51.44697104,-0.326329333,516403.6649,173326.3447,7
Whitton,51.45223366,-0.357588317,514218.4377,173862.3926,5
Richmond Information and Reference Library. Richmond ,51.4583449,-0.304851588,517866.81,174625.4868,2
Richmond Lending Library,51.46178601,-0.302132551,518046.8365,175012.5227,5
East Sheen,51.46489979,-0.266021105,520547.1188,175417.5236,4
Kew,51.47599683,-0.283069715,519334.0082,176623.6606,2
Castelnau,51.47975012,-0.23601797,522591.3756,177118.6427,4
Kingswood Library,51.42992202,-0.080120892,533561.5367,171850.0868,4
Dulwich Library,51.44828683,-0.072974201,534004.6061,173905.28,9
Grove Vale Library,51.46109982,-0.077718332,533637.57,175321.4077,14
Nunhead Library,51.46527339,-0.058104468,534987.7458,175821.4703,6
Peckham Library,51.47386908,-0.067762882,534291.6626,176759.5477,17
Camberwell Library,51.47531156,-0.091033138,532671.4606,176877.544,15
Brandon Library,51.4822063,-0.101346625,531935.3891,177625.6205,10
East Street Library,51.49038632,-0.080102591,533386.5599,178573.7109,3
Blue Anchor Library,51.49237424,-0.062081863,534631.6981,178827.7425,17
Canada Water Library,51.49729578,-0.047564977,535624.8009,179401.8073,24
John Harvard Library,51.50125566,-0.09032367,532645.4736,179763.8235,3
Library @ the Phoenix Centre,51.35268985,-0.131684671,530196.1143,163169.1442,4
Wallington Library,51.35732129,-0.149222392,528961.9692,163653.2348,10
Cheam Library,51.35957626,-0.215126355,524367.4118,163790.2777,2
Sutton Central Library,51.36154844,-0.193586833,525861.5924,164046.3156,8
Library @ Westcroft Centre,51.36742881,-0.156544791,528423.9084,164764.3509,8
Worcester Park Library,51.37753233,-0.239807077,522601.2576,165745.5303,4
Library @ The Life Centre,51.37837931,-0.200253584,525351.5527,165906.5242,4
The Circle Library,51.38506086,-0.172897523,527236.7644,166696.599,2
Cubitt Town library,51.49546216,-0.010181399,538225.0984,179267.8324,16
Idea Store Canary Wharf,51.50390566,-0.013173491,537991.9047,180201.0897,19
Idea Store Chrisp Street,51.51105004,-0.012858142,537992.2018,180996.1119,21
Idea Store Watney Market,51.51382558,-0.055650795,535014.7129,181224.9996,19
Idea Store Whitechapel,51.51927063,-0.056427971,534944.699,181829.0652,28
Local History Library,51.52330884,-0.040757515,536019.8087,182307.1136,18
Bethnal Green library,51.52592691,-0.052150698,535221.7186,182577.1598,14
Idea Store Bow,51.53204897,-0.028312673,536856.8925,183302.2085,31
Harrow Green Community Library,51.5576213,0.008070079,539302.2171,186214.5019,3
Leyton Library,51.55822906,-0.005941923,538329.0767,186255.4881,6
Leytonstone Library,51.56766325,0.011976135,539542.2606,187338.6337,47
Lea Bridge Library,51.57019993,-0.021899496,537186.941,187556.6395,44
Walthamstow Library,51.5839726,-0.019438984,537316.001,189092.8276,26
Wood Street Library,51.59105708,-0.002843915,538444.1696,189911.9584,21
Higham Hill Library,51.59527813,-0.025878336,536836.0096,190338.0126,12
Hale End Library,51.60870578,0.002769562,538779.2702,191885.2284,18
South Chingford Community Library,51.61609652,-0.016176907,537445.089,192671.3141,77
Chingford Library ,51.63166194,0.002865126,538717.7088,194438.3883,16
North Chingford Library,51.63115177,0.0044664,538828.2798,194384.5181,16
Tooting Library,51.42603474,-0.164185342,527728.8392,171268.043,10
Earlsfield Library,51.44192022,-0.185149645,526227.707,172998.2166,6
Southfields Library,51.44303209,-0.207139118,524696.5538,173084.2505,16
Balham Library,51.44496215,-0.150761033,528608.9439,173396.2058,14
Roehampton Library,51.44929376,-0.240517105,522360.298,173724.3405,26
Northcote Library,51.45463918,-0.162764313,527747.869,174451.3184,4
Wandsworth Town Library,51.45567007,-0.190880754,525791.6774,174517.3574,8
Putney Library,51.46127262,-0.214314012,524148.5215,175100.4388,12
Battersea Library,51.46351276,-0.162566274,527736.8867,175438.4173,14
York Gardens Library,51.46671069,-0.176145747,526784.7928,175770.4591,8
Battersea Park Library,51.47387352,-0.152846626,528382.9835,176607.5352,22
Pimlico Library,51.48766566,-0.135592046,529542.1996,178171.6115,8
Victoria Library,51.49239532,-0.146262996,528788.0578,178678.7453,12
Mayfair Library,51.50886039,-0.14954367,528514.0129,180503.9197,14
Charing Cross Library,51.50976289,-0.126518762,530110.9325,180645.1309,0
Paddington Children's Library,51.51866802,-0.188931504,525738.5326,181519.2965,4
Paddington Library,51.5169107,-0.187042195,525889.7181,181334.0118,10
Marylebone Library,51.52012163,-0.149058338,528516.0016,181757.0368,8
Little Venice Sports Centre Library,51.52203057,-0.175608347,526668.7982,181923.0635,0
Church Street Library,51.52252362,-0.168582114,527154.8507,181990.0662,12
Maida Vale Library,51.52416055,-0.188859128,525743.6947,182137.089,13
St John's Wood Library,51.53323428,-0.17084876,526967.8195,183177.1796,21
Queen's Park library,51.52651654,-0.209340014,524316.5339,182364.1167,4
Old Manor Park Library,51.5525949,0.05535975,542597.8109,185746.8684,6
The Evangelical Library,51.6088859,-0.13423625,529294.1995,191654.3648,0
Feminist Library,51.4979859,-0.10390325,531714.1847,179375.9097,2
Harrow Greeen Library ,51.5591819,0.00701575,539226.2612,186386.2802,1
Aga Khan Library,51.5370186,-0.123363013,530252.181,183681.6752,4
Bromley Central Library,51.4065399,0.02004275,540597.591,169437.2264,5
Bishopsgate Institute,51.51817479,-0.07771992,533472.5809,181668.371,0
The British Library,51.5289299,-0.12534725,530137.6217,182778.6528,45
Southall Library and Dominion Centre,51.4736299,-0.03380425,536652.4291,176795.8488,1
The Women's Art Library,51.49781923,-0.176736583,526659.3105,179228.9396,3
Iranian Library,51.4947939,-0.11855525,530706.3218,178994.7073,2
Lambeth Palace Library,51.5161859,-0.11306025,531026.4231,181383.3837,0
The London Library,51.5204289,-0.12622625,530100.8606,181831.7485,3
Poetry Library,51.5167859,-0.05885875,534785.234,181548.4665,41
RHS Lindley Library,51.5154859,-0.14540325,528784.3777,181248.1749,9
National Art Library,51.4962859,-0.17100325,527061.5227,179068.3552,3
Westminster Reference Library,51.5091259,-0.12820325,529995.8548,180571.3045,0
The Wiener Holocaust Library ,51.52109701,-0.12640325,530086.6789,181905.7303,1